Lg,LDD_Dose,LDD_Energy,SD_Dose,SD_Energy,Vd,Vth,Id,SS,gm
0.18,1.00E+12,20,1.00E+14,10,1,0.987,3.085e-04,84.394,2.039e-04
0.18,1.00E+12,20,1.00E+14,15,0.05,0.768,4.790e-05,85.789,3.942e-05
0.18,1.00E+12,20,1.00E+14,15,1,0.955,3.187e-04,84.732,2.064e-04
0.18,1.00E+12,20,1.00E+14,20,0.05,0.751,4.808e-05,85.861,3.968e-05
0.18,1.00E+12,20,1.00E+14,20,1,0.927,3.270e-04,85.481,2.080e-04
0.18,1.00E+12,20,1.00E+14,30,0.05,0.722,4.748e-05,86.118,3.961e-05
0.18,1.00E+12,20,1.00E+14,30,1,0.879,3.362e-04,87.9,2.077e-04
0.18,1.00E+12,20,1.00E+14,40,0.05,0.693,4.722e-05,87.367,4.031e-05
0.18,1.00E+12,20,1.00E+14,40,1,0.836,3.472e-04,92.315,2.089e-04
0.18,1.00E+12,20,1.00E+15,10,0.05,0.748,7.031e-05,90.146,4.978e-05
0.18,1.00E+12,20,1.00E+15,10,1,0.917,3.709e-04,93.426,2.344e-04
0.18,1.00E+12,20,1.00E+15,15,0.05,0.731,7.018e-05,90.592,4.961e-05
0.18,1.00E+12,20,1.00E+15,15,1,0.894,3.763e-04,95.213,2.343e-04
0.18,1.00E+12,20,1.00E+15,20,0.05,0.715,7.046e-05,91.404,4.967e-05
0.18,1.00E+12,20,1.00E+15,20,1,0.868,3.824e-04,98.002,2.343e-04
0.18,1.00E+12,20,1.00E+15,30,0.05,0.644,7.592e-05,100.777,5.202e-05
0.18,1.00E+12,20,1.00E+15,30,1,0.76,4.150e-04,139.751,2.384e-04
0.18,1.00E+12,20,1.00E+15,40,0.05,0.487,7.628e-05,120.087,4.288e-05
0.18,1.00E+12,20,1.00E+15,40,1,0.625,4.578e-04,306.567,2.442e-04
0.18,1.00E+12,20,1.00E+16,10,0.05,0.711,8.521e-05,96.857,5.724e-05
0.18,1.00E+12,20,1.00E+16,10,1,0.834,4.064e-04,108.287,2.439e-04
0.18,1.00E+12,20,1.00E+16,15,0.05,0.694,8.382e-05,96.947,5.593e-05
0.18,1.00E+12,20,1.00E+16,15,1,0.817,4.085e-04,111.514,2.427e-04
0.18,1.00E+12,20,1.00E+16,20,0.05,0.67,8.585e-05,99.789,5.672e-05
0.18,1.00E+12,20,1.00E+16,20,1,0.781,4.191e-04,124.297,2.438e-04
0.18,1.00E+12,20,1.00E+16,30,0.05,0.468,1.185e-04,370.371,7.261e-05
0.18,1.00E+12,20,1.00E+16,30,1,0.125,6.230e-04,2560.045,2.623e-04
0.18,1.00E+12,20,1.00E+17,10,0.05,0.456,1.378e-04,339.834,8.318e-05
0.18,1.00E+12,20,1.00E+17,10,1,0.09,6.505e-04,2197.927,2.699e-04
0.18,1.00E+12,20,1.00E+17,15,0.05,0.223,1.754e-04,1349.784,9.486e-05
0.18,1.00E+12,20,1.00E+18,10,0.05,0.269,1.665e-04,1224.577,9.206e-05
0.18,1.00E+12,30,1.00E+14,10,0.05,0.784,4.731e-05,85.526,3.867e-05
0.18,1.00E+12,30,1.00E+14,10,1,0.98,3.074e-04,84.182,2.024e-04
0.18,1.00E+12,30,1.00E+14,15,0.05,0.765,4.783e-05,85.597,3.917e-05
0.18,1.00E+12,30,1.00E+14,15,1,0.949,3.177e-04,84.583,2.050e-04
0.18,1.00E+12,30,1.00E+14,20,0.05,0.748,4.801e-05,85.705,3.946e-05
0.18,1.00E+12,30,1.00E+14,20,1,0.922,3.260e-04,85.411,2.068e-04
0.18,1.00E+12,30,1.00E+14,30,0.05,0.719,4.738e-05,85.965,3.942e-05
0.18,1.00E+12,30,1.00E+14,30,1,0.875,3.350e-04,87.769,2.064e-04
0.18,1.00E+12,30,1.00E+14,40,0.05,0.691,4.709e-05,87.24,4.014e-05
0.18,1.00E+12,30,1.00E+14,40,1,0.832,3.461e-04,92.246,2.078e-04
0.18,1.00E+12,30,1.00E+15,10,0.05,0.746,7.043e-05,90.131,4.980e-05
0.18,1.00E+12,30,1.00E+15,10,1,0.915,3.716e-04,93.505,2.344e-04
0.18,1.00E+12,30,1.00E+15,15,0.05,0.729,7.026e-05,90.596,4.962e-05
0.18,1.00E+12,30,1.00E+15,15,1,0.891,3.767e-04,95.279,2.342e-04
0.18,1.00E+12,30,1.00E+15,20,0.05,0.713,7.052e-05,91.387,4.968e-05
0.18,1.00E+12,30,1.00E+15,20,1,0.866,3.828e-04,98.105,2.343e-04
0.18,1.00E+12,30,1.00E+15,30,0.05,0.643,7.592e-05,100.797,5.202e-05
0.18,1.00E+12,30,1.00E+15,30,1,0.759,4.150e-04,139.934,2.384e-04
0.18,1.00E+12,30,1.00E+15,40,0.05,0.486,7.626e-05,120.114,4.286e-05
0.18,1.00E+12,30,1.00E+15,40,1,0.624,4.579e-04,306.629,2.441e-04
0.18,1.00E+12,30,1.00E+16,10,0.05,0.709,8.530e-05,96.913,5.727e-05
0.18,1.00E+12,30,1.00E+16,10,1,0.832,4.069e-04,108.555,2.440e-04
0.18,1.00E+12,30,1.00E+16,15,0.05,0.693,8.390e-05,96.995,5.596e-05
0.18,1.00E+12,30,1.00E+16,15,1,0.816,4.089e-04,111.792,2.427e-04
0.18,1.00E+12,30,1.00E+16,20,0.05,0.669,8.590e-05,99.845,5.674e-05
0.18,1.00E+12,30,1.00E+16,20,1,0.78,4.193e-04,124.593,2.438e-04
0.18,1.00E+12,30,1.00E+16,30,0.05,0.469,1.185e-04,369.416,7.260e-05
0.18,1.00E+12,30,1.00E+16,30,1,0.126,6.226e-04,2552.542,2.623e-04
0.18,1.00E+12,30,1.00E+17,10,0.05,0.456,1.378e-04,339.093,8.317e-05
0.18,1.00E+12,30,1.00E+17,10,1,0.091,6.502e-04,2192.676,2.699e-04
0.18,1.00E+12,30,1.00E+17,15,0.05,0.223,1.754e-04,1350.355,9.487e-05
0.18,1.00E+12,30,1.00E+18,10,0.05,0.269,1.665e-04,1225.74,9.207e-05
0.18,1.00E+12,50,1.00E+14,10,0.05,0.78,4.707e-05,85.153,3.818e-05
0.18,1.00E+12,50,1.00E+14,10,1,0.973,3.057e-04,83.91,2.004e-04
0.18,1.00E+12,50,1.00E+14,15,0.05,0.76,4.764e-05,85.337,3.875e-05
0.18,1.00E+12,50,1.00E+14,15,1,0.942,3.163e-04,84.442,2.033e-04
0.18,1.00E+12,50,1.00E+14,20,0.05,0.743,4.783e-05,85.527,3.909e-05
0.18,1.00E+12,50,1.00E+14,20,1,0.916,3.249e-04,85.268,2.053e-04
0.18,1.00E+12,50,1.00E+14,30,0.05,0.715,4.718e-05,85.796,3.911e-05
0.18,1.00E+12,50,1.00E+14,30,1,0.869,3.335e-04,87.705,2.048e-04
0.18,1.00E+12,50,1.00E+14,40,0.05,0.687,4.689e-05,87.121,3.984e-05
0.18,1.00E+12,50,1.00E+14,40,1,0.827,3.448e-04,92.301,2.065e-04
0.18,1.00E+12,50,1.00E+15,10,0.05,0.741,7.060e-05,90.127,4.981e-05
0.18,1.00E+12,50,1.00E+15,10,1,0.91,3.727e-04,93.696,2.343e-04
0.18,1.00E+12,50,1.00E+15,15,0.05,0.726,7.040e-05,90.603,4.961e-05
0.18,1.00E+12,50,1.00E+15,15,1,0.887,3.777e-04,95.528,2.341e-04
0.18,1.00E+12,50,1.00E+15,20,0.05,0.71,7.064e-05,91.424,4.967e-05
0.18,1.00E+12,50,1.00E+15,20,1,0.862,3.836e-04,98.43,2.342e-04
0.18,1.00E+12,50,1.00E+15,30,0.05,0.646,7.597e-05,100.946,5.289e-05
0.18,1.00E+12,50,1.00E+15,30,1,0.756,4.155e-04,141.246,2.383e-04
0.18,1.00E+12,50,1.00E+15,40,0.05,0.485,7.627e-05,120.446,4.285e-05
0.18,1.00E+12,50,1.00E+15,40,1,0.622,4.583e-04,310.12,2.441e-04
0.18,1.00E+12,50,1.00E+16,10,0.05,0.706,8.551e-05,97.049,5.733e-05
0.18,1.00E+12,50,1.00E+16,10,1,0.828,4.080e-04,109.211,2.440e-04
0.18,1.00E+12,50,1.00E+16,15,0.05,0.69,8.409e-05,97.141,5.602e-05
0.18,1.00E+12,50,1.00E+16,15,1,0.812,4.098e-04,112.59,2.428e-04
0.18,1.00E+12,50,1.00E+16,20,0.05,0.667,8.606e-05,100.045,5.679e-05
0.18,1.00E+12,50,1.00E+16,20,1,0.777,4.201e-04,125.683,2.438e-04
0.18,1.00E+12,50,1.00E+16,30,0.05,0.469,1.185e-04,368.897,7.258e-05
0.18,1.00E+12,50,1.00E+16,30,1,0.127,6.225e-04,2549.201,2.623e-04
0.18,1.00E+12,50,1.00E+17,10,0.05,0.456,1.378e-04,339.528,8.318e-05
0.18,1.00E+12,50,1.00E+17,10,1,0.09,6.504e-04,2197.612,2.699e-04
0.18,1.00E+12,50,1.00E+17,15,0.05,0.223,1.755e-04,1353.433,9.487e-05
0.18,1.00E+12,50,1.00E+18,10,0.05,0.268,1.665e-04,1229.31,9.207e-05
0.18,1.00E+12,70,1.00E+14,10,0.05,0.778,4.684e-05,84.963,3.777e-05
0.18,1.00E+12,70,1.00E+14,10,1,0.971,3.045e-04,83.776,1.993e-04
0.18,1.00E+12,70,1.00E+14,15,0.05,0.758,4.745e-05,85.172,3.839e-05
0.18,1.00E+12,70,1.00E+14,15,1,0.94,3.153e-04,84.379,2.024e-04
